session_id,year,window_id,log_scale,multiplier
20260809_221745,2024,2,1.5467872170887513e-17,1
20260809_221745,2024,3,-0.5877866653571931,0.5555555553027366
20260809_221745,2025,1,0,1
20260809_221745,2025,2,6.669265365076564e-18,1
20260809_221745,2025,3,-0.37037378200964094,0.6904761948173892
20260811_050055,2021,1,0,1
20260811_050055,2021,2,0.858344996985778,2.359252890239846
20260811_050055,2021,3,-0.05420793993116679,0.9472351180163829
20260811_050055,2022,1,0,1
20260811_050055,2022,2,-3.645192811132576e-18,1
20260811_050055,2022,3,-2.1282294028266104,0.11904789321729875
20260811_050055,2023,1,0,1
20260811_050055,2023,2,0.16724500284351798,1.1820438339348216
20260811_050055,2023,3,0.031060908108492248,1.0315483316308418
20260811_050055,2024,1,0,1
20260811_050055,2024,2,1.6888038071922533e-17,1
20260811_050055,2024,3,-0.5947071097169289,0.5517241368440077
20260811_050055,2025,1,0,1
20260811_050055,2025,2,-1.1469737430865887e-17,1
20260811_050055,2025,3,-0.3746934496862527,0.6874999998316711
20260812_091047,2021,1,0,1
20260812_091047,2021,2,0.8867739189811551,2.4272863840536636
20260812_091047,2021,3,-0.015397399775959199,0.9847205341163472
20260812_091047,2022,1,0,1
20260812_091047,2022,2,-6.459019427208418e-17,0.9999999999999999
20260812_091047,2022,3,-2.140070759829548,0.11764651807968071
20260812_091047,2023,1,0,1
20260812_091047,2023,2,0.16288910911433999,1.1769061742841114
20260812_091047,2023,3,0.011649812107814595,1.011717935453259
20260812_091047,2024,1,0,1
20260812_091047,2024,2,6.090450048631673e-19,1
20260812_091047,2024,3,-0.587786664972912,0.5555555555162262
20260812_091047,2025,1,0,1
20260812_091047,2025,2,-3.94114232085823e-17,1
20260812_091047,2025,3,-0.3856585059215521,0.6800027029308661
